                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 1.5136,                0.86008,                 1.1152,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018891,              0.0018891,              0.0018891
                     58,                 1.4678,                0.83706,                 1.1042,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018871,              0.0018871,              0.0018871
                     59,                 1.5144,                 0.8858,                 1.1048,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018852,              0.0018852,              0.0018852
                     60,                 1.5059,                0.85094,                  1.104,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018832,              0.0018832,              0.0018832
                     61,                 1.4696,                0.84774,                 1.0976,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018812,              0.0018812,              0.0018812
                     62,                 1.5291,                0.85266,                 1.1265,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018792,              0.0018792,              0.0018792
                     63,                 1.4755,                0.85388,                 1.1005,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018772,              0.0018772,              0.0018772
                     64,                 1.4699,                0.83108,                 1.0983,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018753,              0.0018753,              0.0018753
                     65,                 1.4659,                0.82288,                 1.0949,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018733,              0.0018733,              0.0018733
                     66,                 1.4822,                0.81479,                 1.1137,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018713,              0.0018713,              0.0018713
                     67,                 1.4818,                0.81719,                 1.0901,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018693,              0.0018693,              0.0018693
                     68,                  1.431,                0.77354,                 1.0851,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018673,              0.0018673,              0.0018673
                     69,                 1.4334,                0.80554,                 1.0824,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018654,              0.0018654,              0.0018654
                     70,                 1.4491,                0.81154,                 1.0963,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018634,              0.0018634,              0.0018634
                     71,                  1.427,                0.79103,                 1.0704,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018614,              0.0018614,              0.0018614
                     72,                 1.4614,                0.81821,                 1.0676,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018594,              0.0018594,              0.0018594
                     73,                 1.4053,                0.76949,                 1.0716,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018574,              0.0018574,              0.0018574
                     74,                 1.4539,                 0.8212,                 1.0822,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018555,              0.0018555,              0.0018555
                     75,                 1.4419,                 0.7934,                 1.0686,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018535,              0.0018535,              0.0018535
                     76,                 1.4406,                0.82811,                 1.0755,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018515,              0.0018515,              0.0018515
                     77,                 1.3873,                0.76868,                 1.0488,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018495,              0.0018495,              0.0018495
                     78,                 1.4113,                0.78584,                 1.0598,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018475,              0.0018475,              0.0018475
                     79,                 1.4169,                0.77257,                 1.0712,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018456,              0.0018456,              0.0018456
                     80,                 1.4021,                0.77107,                 1.0663,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018436,              0.0018436,              0.0018436
                     81,                  1.381,                 0.7563,                 1.0565,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018416,              0.0018416,              0.0018416
                     82,                 1.4142,                 0.7496,                 1.0619,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018396,              0.0018396,              0.0018396
                     83,                 1.3821,                0.74931,                 1.0545,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018376,              0.0018376,              0.0018376
                     84,                  1.399,                0.75157,                 1.0513,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018357,              0.0018357,              0.0018357
                     85,                 1.3484,                0.73261,                  1.032,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018337,              0.0018337,              0.0018337
                     86,                 1.3501,                0.75255,                 1.0536,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018317,              0.0018317,              0.0018317
                     87,                 1.3455,                0.73417,                 1.0491,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018297,              0.0018297,              0.0018297
                     88,                 1.3613,                0.75003,                 1.0508,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018277,              0.0018277,              0.0018277
                     89,                 1.3321,                0.75857,                 1.0519,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018258,              0.0018258,              0.0018258
